"","industrylist_short.i.","employment_ind_currrent_NSA","employment_ind_MoM_NSA","employment_ind_YoY_NSA","emp_pcttot_NSA","employment_industry_current","employment_industry_MoM","employment_industry_YoY","employment_pcttot"
"1","Total, All Industries",124000,-0.014308426073132,0.0324729392173189,"",125006.342655632,-0.00226859122861456,0.0311559809049615,""
"2","Total Nonfarm",118600,-0.0141313383208646,0.032201914708442,"",120024.630292871,-0.00286284016043614,0.0309238445372695,""
"3","Educational and Health Services",18200,0.00552486187845314,0.0705882352941176,"0.146774193548387",18791.8046365762,0.0186578246052431,0.0672024921607233,"0.150407535738488"
"4","Financial Activities",4000,0,0,"0.032258064516129",3989.52058237109,-0.00261724618010073,-3.02440129115178e-05,"0.0319316835810688"
"5","Goods Producing",17700,0,0.0411764705882354,"0.142741935483871",17699.1975382371,-0.00695920400427252,0.0410992156161354,"0.141662428795874"
"6","Government",22000,-0.0833333333333334,-0.0265486725663717,"0.17741935483871",23047.6043561795,-0.01389099004587,-0.0280779005306606,"0.184470488222369"
"7","Information",1200,0,0,"0.00967741935483871",1192.65710266265,-0.00405634578091008,-0.000477753167257178,"0.00954589616387034"
"8","Leisure and Hospitality",19500,0.00515463917525771,0.0427807486631016,"0.157258064516129",18951.0709768639,-0.0113678278863114,0.042227759037105,"0.151682285994359"
"9","Other Services",4100,0,0.108108108108108,"0.0330645161290323",4145.53769313469,0.00300297377092562,0.0977672882710976,"0.0331804273614994"
"10","Professional and Business Services",11700,0,0.0636363636363637,"0.0943548387096774",11681.4259563216,-0.00780765655875471,0.0658601290017922,"0.0934968474811716"
"11","Retail Trade",13700,0.00735294117647056,0.0223880597014925,"0.110483870967742",13784.7004987614,0.00301250138986675,0.0214697878092764,"0.110331225393665"
"12","Total Farm",5400,-0.0181818181818182,0.0384615384615385,"0.0435483870967742",5114.70032357151,0.0238898827094387,0.0378347793774938,"0.0409374983715986"
"13","Transportation, Warehousing and Utilitie",3800,0,0.027027027027027,"0.0306451612903226",3831.11127999125,0.000828852213955011,0.0285533800337157,"0.0306637929622705"
"14","Wholesale Trade",2700,0,0.0384615384615385,"0.0217741935483871",2709.91857038901,-0.000968210318114227,0.037305038032641,"0.0216898899337663"
