"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table_1","405500","408700","409700","411200","407269","409489","409998","412605"
"empl_table_1","380400","395600","396600","396800","384768","399651","399744","400891"
"unemp_table_1","25000","13000","13100","14300","22740","11786","11874","12999"
"uerate_VEN_table","0.062","0.032","0.032","0.035","0.056","0.029","0.029","0.032"
"blank","","","","","","","",""
"blank.1","","","","","","","",""
"lf_table_2","134900","137800","137000","136200","136558","137581","137321","137759"
"empl_table_2","127900","134200","133500","132500","130128","135231","134483","134638"
"unemp_table_2","7000","3600","3500","3700","6497","3146","3144","3422"
"uerate_SLO_table","0.052","0.026","0.025","0.027","0.048","0.023","0.023","0.025"
"blank.2","","","","","","","",""
"blank.3","","","","","","","",""
"lf_table","219200","224000","222500","225000","218762","222017","219691","224321"
"empl_table","207400","217600","216300","218500","207029","216997","214967","217962"
"unemp_table","11800"," 6300"," 6200"," 6600","11792"," 5952"," 5991"," 6560"
"uerate_SB_table","0.054","0.028","0.028","0.029","0.054","0.027","0.027","0.029"
"uerate_CA_table","0.072","0.040","0.039","0.041","0.068","0.036","0.035","0.038"
"uerate_US_table","0.053","0.038","0.038","0.038","0.052","0.036","0.035","0.037"
